,nzeros_p,nzeros_s,nzeros_p_denoised,nzeros_s_denoised,mean_p,mean_p_denoised,mean_s_denoised,std_p,std_s,std_p_denoised,std_s_denoised
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,440,52.220054626464844,30.0,718.0,40.808082580566406,41.80561828613281,52.40773010253906,7.075679779052734,1.4606040716171265,6.982801914215088,1.6996217966079712
2,326,35.79279327392578,130.0,417.0,24.254776000976562,24.234094619750977,35.687442779541016,5.581261157989502,2.841186285018921,5.178917407989502,3.1682164669036865
3,1774,51.451988220214844,736.0,2781.0,49.00801467895508,45.12339782714844,50.858238220214844,9.846817016601562,3.4379992485046387,12.590879440307617,6.277030944824219
4,1080,35.57668685913086,452.0,1518.0,27.80162239074707,28.472782135009766,33.87920379638672,8.258556365966797,1.3976877927780151,10.419449806213379,7.290250301361084
5,292,22.293880462646484,89.0,139.0,17.35033416748047,16.682147979736328,22.0482177734375,4.127503395080566,1.4028804302215576,6.42888069152832,1.5514426231384277
6,1756,32.52766799926758,1156.0,2322.0,27.4771671295166,27.24407386779785,32.012447357177734,6.851588249206543,2.1001954078674316,10.10205364227295,3.641643524169922
7,2522,27.312646865844727,2242.0,4568.0,25.85393524169922,28.023574829101562,28.598323822021484,6.522988319396973,3.2711541652679443,13.495098114013672,9.213675498962402
8,4177,46.742000579833984,3707.0,5613.0,44.48781204223633,35.4307746887207,32.637596130371094,16.705766677856445,15.35651683807373,19.92110824584961,18.98360252380371
9,1861,21.040796279907227,983.0,2368.0,20.462482452392578,20.4299259185791,20.4434757232666,6.572371006011963,2.3356246948242188,10.85380744934082,5.85176944732666
